skill	classification	adapters	inputs_outputs	remaining_blockers
chem-neb-barrier	existing	peregrine.simulation	Explicit endpoints same atom order -> path and barrier eV	Existing Peregrine NEB authority remains; AtomisticSkills standalone NEB script is not a second runner. Qualification remains backend-specific.
chem-nmr-analysis	partial	nmr-deconvolution	Supplied spectra on common ppm grid and proton counts -> mole fractions/noise/Wasserstein ppm	Existing supplied-spectrum LP integrated with bounded grid and independent-reference checks; baseline/quantitative NMR assumptions still need review. Product/spectrum prediction and kinetics orchestration are not executed.
chem-nmr-predict	prerequisite		SMILES field MHz -> 1H NMR ppm/intensity	SPINUS service and nmrsim missing/unverified; no 13C/19F/31P predictor exists in this skill.
chem-react-ot	prerequisite		Reactant/product aligned atom mapping -> transition-state guess	ReactOT repository and checkpoint environment not provisioned; prediction is not TS validation.
chem-similarity-search	acquisition		SMILES Tanimoto threshold -> PubChem candidates	Remote similarity API response/reproducibility not qualified; local fingerprint comparison is separate.
chem-solution-md	partial	rdf	Explicit periodic frames A and element pair -> radial distribution	ASE RDF integrated; old script assumes orthorhombic MIC and uses last-frame volume for normalization. Solvation/MD need Packmol and qualified calculator path.
chem-sorption-gcmc	prerequisite		Host guest T K pressure/fugacity -> loading and traces	GCMC runtime and guest charge/spin/checkpoint not qualified; no new simulation authority introduced.
chem-sorption-relax	partial	supercell	Ordered lattice A fractional sites repeats -> expanded structure	Structure expansion integrated; host relaxation stays with Peregrine. No automatic model selection or overlap acceptance.
chem-sorption-widom	prerequisite		Host guest T K insertion trials -> Henry coefficient adsorption enthalpy	Widom provider/runtime and normalized units/checkpoint not qualified; high variance needs scientific acceptance.
chem-spectrum-matcher	partial	spectrum-similarity	Two spectra on common uniform ppm/cm^-1 axis -> dimensionless similarity	Offline normalized scoring integrated; catalog/network prediction not integrated. No identification or mixture quantification claimed.
chem-thermochemistry	partial	ideal-gas	Geometry A real vibration energies eV T K pressure Pa spin S -> H G eV and S eV/K	Supplied-mode ideal-gas step integrated; Hessian/relaxation and reaction bookkeeping not automatically executed.
chem-ts-optimization	prerequisite		Initial saddle geometry charge/spin -> TS geometry and energy	Sella/runtime and one-imaginary-mode validation absent from qualified native path.
chem-vibration	prerequisite		Molecule and force calculator -> frequencies cm^-1 and modes	Finite-difference calculator/checkpoint and molecular constraints not qualified; supplied modes can feed ideal-gas adapter.
drug-admet-prediction	partial	molecular-descriptors	SMILES -> RDKit descriptors g/mol A^2 dimensionless heuristics	Descriptors integrated; external ADMET prediction is unavailable and descriptors are not experimental or clinical endpoints.
drug-binding-site-definition	partial	docking-box	Receptor/reference ligand coordinates A -> docking box center and size A	Existing box function integrated for explicit selected coordinates; PDB/SDF residue selection remains a separate prerequisite.
drug-bioactivity-assay	acquisition		Compound identifier -> assay tables with source units	Remote PubChem assay retrieval not qualified; heterogeneous endpoint/unit interpretation requires source records.
drug-complex-system-builder	prerequisite		Prepared receptor PDB ligand SDF padding A salt mol/L -> OpenMM XML/state	OpenMM/OpenFF/openmmforcefields absent; charges/HMR/forcefield compatibility unqualified.
drug-db-chembl	acquisition		Target UniProt or SMILES -> ChEMBL activities and molecules	ChEMBL client/provider snapshot not provisioned; activity units and censored relations cannot be flattened.
drug-db-pdb	acquisition		PDB query/id -> structure plus validation report	RCSB network acquisition not qualified as a frozen source artifact adapter.
drug-db-pubchem	acquisition		Name/formula/SMILES -> PubChem records	Network acquisition not qualified; query result snapshots and record identities required.
drug-docking-analysis	science-blocked		Docking scores labels and molecular descriptors -> enrichment/efficiency	Existing enrichment mishandles ties and rounded selection fraction; SEI substitutes area 1 for zero TPSA. Scientific correction and reference validation are required before exposing results.
drug-docking-vina	prerequisite		PDBQT receptor ligands box A seed -> poses and scores kcal/mol	Vina/Meeko absent from inspected environments; no docking executable qualification or licensed-data assumption.
drug-ligand-prep	prerequisite		SMILES/SDF pH stereochemistry -> protonation/tautomer conformers PDBQT	RDKit available separately; Meeko/protomer stack and complete state provenance not qualified.
drug-molecular-fingerprints	partial	molecular-fingerprints	SMILES Morgan radius bit count chirality -> fingerprints/Tanimoto matrix	Comparison integrated; MCP Butina code rebuilds fingerprints without requested features/chirality and uses an inconsistent pair order, so clustering is not exposed.
drug-pocket-detection	prerequisite		Protein PDB -> pockets and box A	Fpocket executable and pocket-ranking parser not qualified; visualization does not establish binding.
drug-pose-validation	prerequisite		Protein ligand poses -> PoseBusters validity flags	PoseBusters and ligand-identity/coordinate-frame fixtures absent.
drug-protein-ligand-md	prerequisite		OpenMM system/state T K timestep fs duration -> trajectory/log	OpenMM stack absent; direct standalone MD must not replace Peregrine/native recipe execution authority.
drug-protein-prep	prerequisite		PDB/mmCIF chains pH missing-residue policy -> prepared protein	PDBFixer/OpenMM unavailable; uncertain protonation/residue reconstruction requires explicit evidence.
drug-redocking-rmsd	partial	redocking-rmsd	Reference/docked SDF in fixed receptor frame -> symmetry RMSD A	In-place RMSD integrated for bounded 3D molblocks with exact molecular identity; PDBQT/Meeko conversion unavailable. Translation is retained.
drug-retrosynthesis	prerequisite		Product SMILES -> proposed reactants/routes	IBM RXN credentials/provider availability unverified; external predictions are not synthesis approval.
drug-trajectory-analysis	prerequisite		Topology trajectory dt selection -> RMSD RMSF contacts H bonds	MDAnalysis/MDTraj absent; alignment imaging and ligand identity need qualified topology contract.
general-arxiv-search	literature		Query -> paper metadata and optional PDFs	Research acquisition guidance; network/rate limits and retained source snapshots, not a scientific calculation recipe.
general-biorxiv-search	literature		Query/date range -> preprint records	Research acquisition guidance; preprint results require source verification, not a calculation adapter.
general-chemical-literature	literature		Compound ID -> PubChem literature cross-references	Remote source metadata not qualified; no executable scientific result claimed.
general-chemical-pricing	literature		Element/compound -> dated price/source/currency	Market acquisition guidance; source dates and purity/basis indispensable. Not a thermodynamic Result.
general-deep-research	guidance		Research question -> cited review	Agent literature workflow, not an executable provider API.
general-fair-data-review	guidance		Dataset and metadata -> FAIR review	Human/agent review rubric; no scientific calculation entrypoint.
general-patent-search	literature		Query -> patent documents	Provider access/rate limits and legal interpretation are external; no calculation recipe.
general-peer-review	guidance		Plan/manuscript/slides -> review findings	Agent judgment and visual inspection required; no automated acceptance recipe.
general-plot-digitizer	review-assisted		Image pixels plus calibrated metadata -> xy/CSV and overlay	VLM calibration and mandatory overlay review cannot be represented as automatic scientific acceptance; CV artifact adapter remains candidate.
general-presentation	guidance		Figures/text -> slides	Document production and visual review; not a scientific calculation recipe.
general-property-units	guidance		Declared physical units and conventions -> conversion guidance	No standalone converter; eV-to-kJ/mol example multiplies the inverse ASE factor and must not be treated as a validated executable contract.
general-query-literature-database	literature		Question/DOI -> cited papers	Database acquisition protocol; provider/credential availability separate from scientific execution.
general-workflow-planner	guidance		Scientific objective -> protocol plan	Anvil Campaign/Iteration is the only state authority; do not create a second planner.
mat-amorphization	partial	supercell,rdf	Ordered structure/repeats or trajectory -> expanded structure/RDF	Melt-quench remains qualified Peregrine work; RDF is evidence and does not itself prove amorphization.
mat-calphad-phase-diagram	prerequisite		TDB components T K P Pa compositions -> equilibrium phase diagram	pycalphad and licensed/compatible TDB not provisioned; no database invention.
mat-calphad-property-diagram	prerequisite		TDB phases composition T K -> phase fractions/properties	pycalphad/TDB prerequisites absent; normalization and phase selection require explicit contract.
mat-db-mp	acquisition		Chemical system/formula/id filters -> MP records structures tensors	mp-api present in some environments; credentials/endpoint and immutable query snapshots not verified.
mat-db-nist-janaf	acquisition		Formula phase T K -> JANAF thermodynamic table	Network/table parser and standard-state/source units not qualified; not interchangeable with computed energies.
mat-db-optimade	acquisition		OPTIMADE filter/provider -> structure records	Provider dialect/schema and reproducible response snapshot not qualified; arbitrary endpoints not exposed.
mat-defect-energy	partial	substitute	Ordered structure and full species replacement -> substituted structure	No fractional/charged defect generation or formation energies exposed; chemical potentials and energy reference need complete provenance.
mat-defect-energy-dft	prerequisite		Charged supercells charge dielectric LOCPOT -> formation energy vs Fermi eV	Licensed VASP outputs and finite-size correction reference contracts absent; charged-cell alignment cannot be assumed.
mat-dft-electron-phonon	prerequisite		DFT input structures/kq meshes -> electron phonon observables	Licensed VASP/DFPT backend and native jobflow adapter unqualified; scripts generate inputs, not completed results.
mat-dft-electronic-transport	prerequisite		DFT bands relaxation time -> transport tensors	VASP/BoltzTraP dependencies and scattering-time contract absent; constant tau is an assumption, not measured mobility.
mat-dft-ferroelectric	prerequisite		Polar/nonpolar structures path -> Berry polarization	VASP licensed execution and polarization-branch tracking missing from native contract.
mat-dft-lobster	prerequisite		VASP wavefunctions basis -> COHP/COOP bonding	LOBSTER binary and compatible VASP output unavailable; basis/spilling quality must be reviewed.
mat-dft-mixing-functionals	science-blocked		Structure energy and run metadata -> MP2020 correction	Existing script fabricates Hubbard settings and disables POTCAR checks. needs_u_correction is present in the qualified numerical worker, but bare MLIP energy still cannot establish DFT correction compatibility.
mat-dft-vasp	prerequisite		Structure functional kmesh settings -> VASP results	Existing native VASP recipes remain authority; arbitrary atomate2 submit/Mongo workflows are not exposed. License/site backend unqualified here.
mat-dielectric-response	partial	dielectric-chi	Explicit frequency-dependent CHI text block photon eV -> scalar real/imaginary arrays	Existing parser reused with unique frequency block and increasing energy checks; full tensor/LOPTICS extraction and live DFT remain separate.
mat-diffusion-analysis	existing	peregrine.transport	Qualified MD trajectory dt fs species fit window -> D conductivity/Arrhenius	Existing integrated transport/Arrhenius and provisional Result contracts preserved; adequate sampling remains a scientific acceptance requirement.
mat-disorder	prerequisite		Disordered primordial lattice CE T K -> ordered/MC structures	smol/CE model absent; iterative training must use Anvil Campaign rather than script-owned state.
mat-edi-mobility	partial	edi-transport,edi-lifetimes,edi-matrix,uniform-kpoints	Supplied EDI tables T K mobility cm2/V/s energy eV rates Ry lifetime fs matrix values; mesh -> fractional reciprocal grid	Existing exact-layout parsers and grid construction integrated; QE/EDI binaries, pseudopotentials and simulation qualification absent. Matrix normalization remains provider-specific; no inferred mobility or automatic cross-method comparison.
mat-elasticity	partial	elastic-moduli	Positive definite 6x6 stiffness GPa -> VRH elastic moduli GPa	Aggregation integrated; strain/relax calculator and anisotropy/Debye workflow require qualified engine and density reference.
mat-electrochemical-window	prerequisite		Target identity complete common-reference phases -> voltage window	Existing code matches phases by formula and clips limits to 0..10 V with artificial endpoints; unsafe for identity-specific intrinsic-window claims without science correction.
mat-electronic-structure	prerequisite		DFT structure/kmesh or MP ID -> bands DOS eV	VASP execution/MP snapshot missing; isolated plots do not provide a new calculated electronic structure.
mat-elemental-energies	reference-blocked		Element/checkpoint name -> bundled reference eV/atom	Bundled tables identify checkpoints by filename only, without immutable checkpoint/head/training-reference hash. Automatic joining to new calculations is not presently scientifically qualified; raw resources remain available for manual review.
mat-epw-mobility	partial	wannier-spreads,epw-coupling-table,uniform-kpoints	Supplied final Wannier text -> centers A/spreads A2; selected coupling table -> meV entries; integer mesh -> reciprocal fractions	Existing parsers/grid integrated; QE/EPW execution absent. Automatic nearest-Fermi CBM and fixed top-four mode claims are not safe generic summaries and remain unexposed.
mat-equation-of-state	partial	eos-fit	Paired cell volumes A^3 and total energies eV -> V0 E0 B GPa	Birch-Murnaghan supplied-data fit integrated; no volume-scan execution or thermal EOS claim.
mat-grain-boundary	partial	grain-boundary-energy	GB total eV atom count bulk eV/atom area A^2 -> gamma J/m^2	Existing scalar function reused for exactly two interfaces; CSL structure generation/relaxation still needs qualified path. Old parser diagonal-area and zero-energy pitfalls not used.
mat-grand-canonical-mc	prerequisite		CE model chemical potentials eV T K -> compositions/traces	smol environment and CE model absent; no replacement Monte Carlo engine.
mat-intercalation-voltage	partial	intercalation-voltage	Paired host/metal total energies eV and ion counts -> V	Existing formula only supports monovalent transfer; adapter limits Li/Na/K. Relaxation and multi-electron Mg/Ca/Zn workflows not exposed.
mat-ionic-substitution	partial	substitute	Ordered structure full species map -> substituted structure	Direct replacement integrated; probabilistic ionic substitution/oxidation-state enumeration and MP precursor retrieval remain unavailable.
mat-kinetic-monte-carlo	prerequisite		Lattice event catalog barriers eV prefactors 1/s T K -> trace D	Existing lattice KMC engine is outside Peregrine execution contract; event completeness/rate model acceptance absent. No second simulation runner added. Off-lattice KMC not implemented.
mat-lammps-md	guidance		Backend-specific binary/environment -> LAMMPS execution guidance	Installation/tutorial skill; preserve Peregrine execution authority and binary/environment pairing, no separate scheduler.
mat-lattice-thermal-conductivity	prerequisite		Structure MLIP q mesh T K -> lattice kappa W/m/K	matcalc/phono3py absent; documented API patch and phonon stability must be qualified. Does not include metallic electronic contribution.
mat-magnetic-density	partial	magnetic-moments	Collinear species/site moments muB -> projected moment sum and ordering heuristic	Supplied moments integrated; negative ferromagnetic sign corrected in shared provider. VASP/CHGCAR extraction and interstitial magnetization not inferred.
mat-md-monitors	existing	peregrine.simulation	MD ensemble T K timestep fs -> monitoring/stop evidence	Existing Peregrine simulation authority retained; AtomisticSkills monitor-specific thresholds are guidance, not copied into a second engine.
mat-md-probability-density	partial	probability-density	Fixed orthogonal-cell frames A species grid A explicit dt ps -> normalized raw occupancy 1/A^3	Raw pymatgen occupancy integrated without inferred time, smoothing or log compression; no continuous conduction pathway claim. Variable cells/skew cells rejected.
mat-melting-point	partial	supercell	Structure repeats -> initial supercell	Coexistence preparation, latent feature classifier and NVE continuation unqualified. No melting point inferred from a temperature plateau alone.
mat-phase-diagram	acquisition		Chemical system and thermo type -> MP precomputed phase diagram	This skill explicitly retrieves MP data only; custom hull adapter is attributed to mat-stability, not falsely counted as this entire workflow.
mat-phase-field-conservative	prerequisite		Grid dx dt steps nondimensional concentration -> FiPy field animation	FiPy absent; model parameter units/conservation result contract and native bounded solver adapter not qualified.
mat-phase-field-non-conservative	prerequisite		Grid radius dt steps nondimensional order parameter -> field animation	FiPy absent; tutorial Allen-Cahn/dendrite outputs need declared physical/nondimensional parameters and numerical verification.
mat-phonon	prerequisite		Structure checkpoint displacement/supercell -> frequencies THz DOS	phonopy exists in some environments; matcalc and qualified provider contract absent; no result from an import-only check.
mat-pourbaix-diagram	prerequisite		Solid/aqueous entries water reference concentration M -> pH/V domains	MP credentials/aqueous snapshot and consistent water/reference correction unavailable; cannot mix arbitrary MLIP and database energies.
mat-qha-thermal-expansion	prerequisite		Volume/phonon scans T K -> Gibbs/thermal expansion	matcalc and complete dynamically stable volume scans absent; skill command references stale qha path. Linear strain and volume must not be conflated.
mat-raman-spectra	prerequisite		Phonopy modes structure Born/dielectric data -> Raman peaks cm^-1	Full intensities require polarizability derivatives, not Born charges alone. Equal-weight spectra are placeholders; qualified phonon data missing.
mat-random-structure-search	partial	random-cubic-structure	Integer composition seed volume factor -> cubic-metric P1 candidate	Existing generator reused for bounded cubic metric only; no symmetry enforcement, relaxation or stability claim. Other metrics retain unqualified volume/distance issues.
mat-reaction-network	prerequisite		Target precursors T K open phases -> reactions/pathways	reaction-network/mp-api snapshot missing; combinatorial search needs bounded execution and energy compatibility.
mat-sample-pes-by-md	prerequisite		Structure checkpoint T K timestep clustering -> sampled configurations	Requires engine/features/checkpoint; script launches MD directly and owns sampling loop. Use Anvil/Peregrine authority before adaptation.
mat-solid-free-energy	prerequisite		Pre-equilibrated crystal checkpoint T K pressure GPa -> F/G eV	Frenkel-Ladd calculator/switching path unqualified; center-of-mass corrections explicitly absent, reversibility not guaranteed.
mat-stability	partial	hull	Identified phases total energies eV common basis -> hull eV/atom decomposition	Custom supplied-entry hull integrated with explicit target identity; phase completeness and energy compatibility remain review obligations.
mat-structure-novelty	partial	structure-match,symmetry	Two ordered structures and tolerances -> equivalence/symmetry	Local structural comparison integrated; no database-wide or literature novelty claim.
mat-surface-adsorption	prerequisite		Bulk molecule Miller index checkpoint -> adsorption energies eV	matcalc absent; paired clean slab/gas/adsorbed reference and relaxation engine contract not qualified.
mat-surface-energy	partial	slab	Bulk ordered structure hkl thickness/vacuum A shift -> unrelaxed slab	Slab construction integrated; energies/stoichiometry/equivalent surfaces and Wulff visualization remain separate validation work.
mat-synthesis-extraction	review-assisted		Text-layer PDF -> synthesis ontology with source units	PyMuPDF extraction plus agent interpretation, not an autonomous scientific calculation. Scanned PDFs unsupported; failed extraction must stay missing.
mat-synthesis-recommendation	acquisition		Formula temperature Celsius method -> text-mined recipes DOI	MP credentials/provider snapshot unverified; text-mined route is not experimental validation or automatic lab execution.
mat-xrd-calculator	partial	xrd	Ordered structure wavelength A angular bounds degrees -> peak angles d A relative intensity	Unbroadened pymatgen diffraction integrated; old pseudo-Voigt width and continuous-array/hkl alignment need correction before profile admission.
mat-xrd-digitizer	review-assisted		Image/visually estimated peaks -> synthetic xy profile	Visual estimation plus invented noise/background is an approximation, not raw measured data; no automatic Rietveld acceptance.
mat-xrd-phase-analysis	prerequisite		Pattern xy/xrdml candidate CIF wavelength nm -> DARA phase mixtures Rwp	DARA/Ray/BGMN absent; ICSD is licensed and COD snapshot unprovisioned. No blind external binary download.
mat-xrd-refinement	prerequisite		Observed xy candidate CIF instrument profile -> Rietveld fit Rwp	DARA/BGMN runtime absent; synthetic normalization may change Rwp interpretation. Conversion helper alone does not complete refinement.
ml-bayesian-optimization	existing	anvil-recipes discovery	Observed candidate features/objectives -> typed next candidates	Existing Anvil discovery/Campaign authority retained; script campaign_state.json is not introduced as another state ledger.
ml-cluster-expansion	prerequisite		Disordered lattice total-energy labels -> CE coefficients/model	smol absent; total-vs-per-atom normalization and fixed-cell mapping need qualified contract; iterative planner remains Anvil.
ml-committee-uncertainty	prerequisite		Same-domain checkpoints structures -> energy/force disagreement	Minimum qualified committee checkpoints unavailable; heterogeneous energy offsets invalidate energy-std interpretation.
ml-fairchem-finetune	prerequisite		Label structures energies forces stress eV/A^3 -> checkpoint/logs	Native FairChem training dataset/checkpoint/config contract not integrated; reference energies and stress sign require explicit provenance.
ml-foundation-potentials	guidance		Chemical domain/property/cost -> model-selection guidance	Selection guide and local registry advice; no executable scientific result by itself.
ml-generative-adit	prerequisite		Unconditional generation count/seed -> CIF/XYZ candidates	AADT checkout/public checkpoint not provisioned; composition-conditioned generation unavailable in public model.
ml-generative-diffcsp	prerequisite		Composition SG Wyckoff checkpoint -> candidate CIF	DiffCSP repository/checkpoints not provisioned; examples contain nonportable paths; no demonstrated execution.
ml-generative-mattergen	prerequisite		Chemical system/guidance checkpoint -> candidate structures	MatterGen checkpoint/runtime absent; public composition-exact CSP unavailable; filtering remains required.
ml-mace-finetune	prerequisite		Labels energy force stress split seed -> checkpoint/training history	MACE installed in some envs; native training adapter and checkpoint/reference/data identity not qualified. No fabricated training run.
ml-matgl-finetune	prerequisite		Labels property weights split -> MatGL checkpoint/logs	Installed MatGL metadata may be legacy; required model/DGL training runtime and stress conversion not qualified.
ml-mlip-automl	guidance		Training evidence/budget -> agent-chosen hyperparameters	Explicit agent orchestration tutorial; must use Anvil Campaign/Iteration, no second optimization ledger.
ml-mlip-benchmark	partial	error-metrics	Paired supplied predictions/targets with common units -> MAE RMSE	Existing metric function reused with nonempty paired validation; inference/checkpoint/label generation remain provider-qualified work.
ml-mlip-nvalchemi	prerequisite		Batched structures backend/GPU -> energies forces MD	NValchemi runtime unavailable; documented disabled batching paths and GPU neighbor-list hazards require backend qualification, not blanket exposure.
ml-mlip-speed	prerequisite		Model/checkpoint structures hardware -> latency ms/atom memory MB/atom	Hardware/model benchmarking launches scientific MD; no new jobs authorized and runtime not qualified for this benchmark.
ml-property-predict-scd	prerequisite		Checkpoint dataset periodic flags -> embeddings/property predictions	SCD upstream/checkpoints and optional private StructureCloud unavailable; templates require native GPU training and logging configuration.
ml-property-predictor	prerequisite		Labeled structures intensive/extensive target -> trained readout	Native MACE/MatGL head-training contract unqualified; intensive/extensive treatment and model reference require tests.
general-publisher-access-guard	literature		DOI/URL -> policy decision OA metadata/text	Publisher policy and retrieval guidance, not calculation; credentials/network source provenance separate. Never treat restricted full text as retrieved.
drug-mmpbsa-gbsa	prerequisite		Topology trajectory force fields -> MM/PBSA or MM/GBSA kcal/mol	OpenMM/OpenFF absent; AmberTools MMPBSA/APBS engines not qualified. Forcefield/charge/stripping consistency and missing entropy prevent automatic binding-free-energy acceptance.
